"","logFC","logCPM","PValue","FDR"
"YHR215W",-4.7342867188539,7.50380312195928,0,0
"YML123C",-4.66857331676183,9.00602653339404,0,0
"YGR234W",-3.96281522012333,7.89747039004752,0,0
"YER011W",-3.9159903073661,6.90810706478266,0,0
"YER081W",3.35154627627974,9.2647754628244,0,0
"YDR077W",-3.34206212554617,11.4837217239276,0,0
"YMR120C",-3.27622741299706,8.25049442133997,0,0
"YDR033W",-3.17379633714866,8.30125028943689,0,0
"YIL169C",-2.95817630798566,7.46313045623633,0,0
"YDR342C",-2.95460500345959,11.0703821792351,0,0
"YFR015C",-2.83648090926252,9.24276081088315,0,0
"YLR058C",-2.65934408579954,8.93811189386419,0,0
"YCL030C",-2.40365872355754,8.76850055532449,0,0
"YPR160W",-2.25385835048026,8.23426273444832,0,0
"YBR067C",-2.24862016720115,8.22863102170266,0,0
"YOR153W",-2.0820416886125,9.27972377627139,0,0
"YHR092C",-2.01343759313136,9.844827938455,0,0
"YDR365W-B",-1.99846776794416,10.0312064237674,0,0
"YER067W",-1.98170110467891,8.73581935756061,0,0
"YLR258W",-1.9643378522662,8.72005660228552,0,0
"YFR053C",-1.49760798338798,10.2055811063946,0,0
"YLL026W",-1.42639018512573,9.62672058357003,0,0
"R0010W",1.14322728703398,10.2299273271132,0,0
"R0020C",1.12168682312737,10.1686552881894,0,0
"YAL005C",-1.10863237198399,10.4357678253552,0,0
"YHR174W",-1.07650159392824,13.9806150363748,0,0
"YJL052W",-1.04573022995481,10.4206893133657,0,0
"YPL061W",-1.04053699564648,10.7209470439054,0,0
"YAL038W",-1.00232741455548,13.2423114617946,0,0
"YOR383C",0.743878721197593,11.4148192146505,0,0
"YDL229W",-0.69140236476415,11.3358356151016,0,0
"YGR192C",-0.646273165882706,14.7485205557403,0,0
"YOL086C",-0.582006532488841,14.2622868902468,0,0
"YJL159W",-0.555610359141463,12.127053334354,0,0
"YLR044C",-0.543851133936908,13.6382237341051,0,0
"R0040C",1.24758755474098,10.0086796528241,2.84265443140409e-310,4.672218408505e-308
"YOL109W",-2.23905610191014,7.86012830139672,1.73691362060603e-306,2.77765348462862e-304
"YKR080W",-3.22681629381636,7.58521790822427,6.55948298755917e-306,1.02138054835231e-303
"YKR075C",1.32011135296652,9.42549190390915,4.32931169845103e-299,6.56834290249609e-297
"YLR154W-C",-0.931436529440477,10.1637733054652,9.26391889824199e-299,1.37036520302245e-296
"YEL071W",1.56089037954761,8.96421041292578,7.79471089549552e-292,1.12490986264993e-289
"YGL008C",-0.63418730276731,11.2768875667832,3.17856772322639e-288,4.47799648055489e-286
"YOR374W",0.865100191126893,10.4994608867519,3.58384954056122e-287,4.93154365848854e-285
"YLR327C",-1.94119215030819,8.18313233517285,2.38292409854993e-280,3.20449133889089e-278
"YOL155C",-2.03955382700672,8.01182800790876,1.28613181599471e-278,1.69112043449793e-276
"YGL234W",-1.38846500708279,8.84014325732061,9.93000181766144e-270,1.27730045119789e-267
"YOR128C",-1.95508510967624,7.98307739187362,1.89209083260722e-264,2.38202158649722e-262
"YAR009C",-2.82711067738788,8.89757582266047,5.39947127599851e-261,6.65597323751733e-259
"YCL025C",-2.06650226555091,7.77766279794186,2.34644012203132e-255,2.83344616368558e-253
"YEL040W",-1.37656474893051,8.76494891444387,4.50424596772624e-253,5.33032467820724e-251
